time,outdoor_temp,indoor_temp,heating_temp,heating_on
0,-9.484692828701576,21.685649763320917,24.966932579310306,0
1,-9.494787456037947,21.683588104988676,24.972012406393535,1
2,-9.504786989820989,21.681535325881374,24.977080626453084,1
3,-9.514691239673986,21.679491418192484,24.982137271027298,1
4,-9.524500017034304,21.677456374184825,24.98718237158847,1
5,-9.53421313515696,21.675430186190127,24.99221595954304,1
6,-9.543830409118183,21.673412846608617,24.99723806623179,1
7,-9.55335165581894,21.671404347908606,25.002248722930066,1
8,-9.562776693988422,21.669404682626062,25.007247960847945,1
9,-9.572105344187484,21.667413843364184,25.012235811130456,1
10,-9.581337428812077,21.66543182279299,25.01721230485777,1
11,-9.590472772096614,21.663458613648885,25.022177473045407,1
12,-9.59951120011733,21.661494208734243,25.027131346644406,1
13,-9.608452540795582,21.659538600916985,25.032073956541545,1
14,-9.617296623901135,21.657591783130147,25.037005333559527,1
15,-9.626043281055392,21.655653748371464,25.041925508457165,1
16,-9.63469234573461,21.65372448970293,25.046834511929585,1
17,-9.643243653273064,21.651804000250397,25.051732374608413,1
18,-9.651697040866187,21.64989227320312,25.05661912706196,1
19,-9.660052347573663,21.64798930181334,25.061494799795426,1
20,-9.668309414322497,21.646095079395867,25.06635942325107,1
21,-9.676468083910038,21.64420959932764,25.071213027808408,1
22,-9.68452820100698,21.642332855047307,25.07605564378441,1
23,-9.692489612160314,21.640464840054776,25.080887301433666,1
24,-9.700352165796243,21.63860554791081,25.085708030948577,1
25,-9.708115712223082,21.636754972236584,25.090517862459553,1
26,-9.715780103634096,21.634913106713256,25.09531682603518,1
27,-9.723345194110323,21.633079945081533,25.100104951682415,1
28,-9.730810839623345,21.63125548114125,25.104882269346756,1
29,-9.73817689803803,21.62943970875092,25.109648808912432,1
30,-9.74544322911525,21.62763262182732,25.114404600202583,1
31,-9.752609694514526,21.625834214345055,25.119149672979432,1
32,-9.759676157796696,21.62404448033611,25.123884056944473,1
33,-9.76664248442648,21.62226341388943,25.12860778173864,1
34,-9.773508541775062,21.62049100915049,25.13332087694249,1
35,-9.780274199122609,21.61872726032085,25.13802337207638,1
36,-9.786939327660754,21.61697216165772,25.14271529660063,1
37,-9.79350380049506,21.615225707473538,25.14739667991572,1
38,-9.799967492647426,21.613487892135517,25.152067551362432,1
39,-9.806330281058472,21.611758710065228,25.15672794022206,1
40,-9.812592044589875,21.610038155738152,25.161377875716546,1
41,-9.818752664026688,21.60832622368325,25.166017387008676,1
42,-9.824812022079593,21.606622908482517,25.17064650320224,1
43,-9.83077000338715,21.604928204770562,25.1752652533422,1
44,-9.83662649451798,21.60324210723416,25.179873666414863,1
45,-9.842381383972938,21.60156461061181,25.18447177134805,1
46,-9.848034562187221,21.59989570969331,25.189059597011255,1
47,-9.853585921532467,21.598235399319314,25.19363717221582,1
48,-9.859035356318794,21.596583674380895,25.198204525715088,1
49,-9.864382762796819,21.594940529819105,25.202761686204585,1
50,-9.869628039159632,21.59330596062454,25.207308682322168,1
51,-9.874771085544733,21.591679961836906,25.21184554264819,1
52,-9.879811804035931,21.590062528544564,25.21637229570568,1
53,-9.884750098665211,21.588453655884113,25.22088896996047,1
54,-9.889585875414562,21.586853339039934,25.22539559382139,1
55,-9.894319042217766,21.585261573243763,25.229892195640403,1
56,-9.89894950896215,21.583678353774246,25.23437880371278,1
57,-9.903477187490303,21.582103675956507,25.238855446277245,1
58,-9.90790199160175,21.580537535161692,25.24332215151614,1
59,-9.9122238370546,21.578979926806554,25.247778947555577,1
60,-9.916442641567144,21.577430846352993,25.2522258624656,1
61,-9.920558324819428,21.575890289307626,25.256662924260333,1
62,-9.924570808454773,21.57435825122135,25.261090160898128,1
63,-9.928480016081275,21.5728347276889,25.265507600281737,1
64,-9.932285873273258,21.5713197143484,25.269915270258448,1
65,-9.935988307572684,21.569813206880948,25.27431319862024,1
66,-9.939587248490543,21.568315201010147,25.27870141310394,1
67,-9.943082627508186,21.566825692501688,25.283079941391353,1
68,-9.946474378078637,21.565344677162898,25.287448811109446,1
69,-9.949762435627854,21.563872150842304,25.29180804983046,1
70,-9.952946737555958,21.5624081094292,25.29615768507208,1
71,-9.956027223238433,21.560952548853194,25.300497744297576,1
72,-9.959003834027271,21.559505465083785,25.304828254915943,1
73,-9.961876513252093,21.558066854129912,25.30914924428205,1
74,-9.964645206221231,21.556636712039516,25.31346073969679,1
75,-9.967309860222759,21.55521503489911,25.317762768407214,1
76,-9.969870424525503,21.553801818833325,25.32205535760668,1
77,-9.972326850380014,21.552397060004484,25.326338534434992,1
78,-9.974679091019484,21.55100075461216,25.330612325978542,1
79,-9.976927101660639,21.54961289889274,25.33487675927045,1
80,-9.979070839504601,21.548233489118967,25.339131861290706,1
81,-9.981110263737687,21.546862521599536,25.343377658966304,1
82,-9.983045335532204,21.54549999267862,25.34761417917138,1
83,-9.98487601804717,21.544145898735465,25.351841448727352,1
84,-9.986602276429032,21.542800236183925,25.356059494403063,1
85,-9.988224077812319,21.54146300147204,25.360268342914903,1
86,-9.989741391320269,21.540134191081588,25.364468020926953,1
87,-9.991154188065419,21.538813801527663,25.368658555051116,1
88,-9.992462441150156,21.53750182935822,25.372839971847252,1
89,-9.993666125667229,21.536198271153648,25.377012297823313,1
90,-9.994765218700218,21.534903123526334,25.381175559435462,1
91,-9.995759699323976,21.533616383120222,25.385329783088224,1
92,-9.996649548605028,21.53233804661038,25.3894749951346,1
93,-9.997434749601922,21.531068110702567,25.3936112218762,1
94,-9.998115287365565,21.529806572132784,25.39773848956338,1
95,-9.9986911489395,21.528553427666857,25.401856824395367,1
96,-9.999162323360153,21.527308674099984,25.405966252520376,1
97,-9.99952880165704,21.526072308256317,25.410066800035747,1
98,-9.999790576852941,21.524844326988518,25.41415849298807,1
99,-9.99994764396404,21.52362472717732,25.418241357373304,1
100,-10.0,21.52241350573111,25.42231541913691,1
101,-9.99994764396404,21.52121065958547,25.42638070417397,1
102,-9.999790576852941,21.520016185702776,25.4304372383293,1
103,-9.99952880165704,21.518830081071734,25.434485047397594,1
104,-9.999162323360153,21.517652342706967,25.438524157123528,1
105,-9.9986911489395,21.516482967648578,25.442554593201884,1
106,-9.998115287365565,21.515321952961713,25.446576381277673,1
107,-9.997434749601922,21.514169295736135,25.450589546946258,1
108,-9.996649548605028,21.513024993085796,25.45459411575346,1
109,-9.995759699323976,21.511889042148397,25.45859011319568,1
110,-9.994765218700218,21.510761440084963,25.46257756472003,1
111,-9.993666125667229,21.509642184079418,25.46655649572443,1
112,-9.992462441150156,21.508531271338146,25.470526931557732,1
113,-9.991154188065419,21.507428699089573,25.474488897519837,1
114,-9.989741391320269,21.506334464583727,25.478442418861803,1
115,-9.988224077812319,21.505248565091815,25.482387520785963,1
116,-9.986602276429032,21.504170997905803,25.486324228446033,1
117,-9.98487601804717,21.503101760337973,25.490252566947238,1
118,-9.983045335532204,21.50204084972051,25.494172561346396,1
119,-9.981110263737687,21.500988263405077,25.49808423665206,1
120,-9.979070839504601,21.499943998762376,25.5019876178246,1
121,-9.976927101660639,21.498908053181733,25.505882729776335,1
122,-9.974679091019482,21.49788042407067,25.509769597371623,1
123,-9.972326850380014,21.496861108854482,25.513648245426978,1
124,-9.969870424525503,21.49585010497582,25.517518698711182,1
125,-9.967309860222759,21.494847409894252,25.521380981945374,1
126,-9.964645206221231,21.49385302108586,25.525235119803174,1
127,-9.961876513252093,21.492866936042805,25.52908113691078,1
128,-9.959003834027271,21.491889152272904,25.532919057847067,1
129,-9.956027223238433,21.490919667299224,25.5367489071437,1
130,-9.952946737555958,21.489958478659645,25.540570709285234,1
131,-9.949762435627854,21.48900558390645,25.54438448870921,1
