time,outdoor_temp,indoor_temp,heating_temp,heating_on
0,-9.484692828701576,21.5,24.828301284682933,0
1,-9.494787456037947,21.493938531836005,24.8116294709187,0
2,-9.504786989820989,21.48773881038749,24.795010017616043,0
3,-9.514691239673986,21.481403569021985,24.778441985373075,0
4,-9.524500017034304,21.474935491438455,24.7619244529034,0
5,-9.53421313515696,21.468337212585322,24.74545651670181,0
6,-9.543830409118183,21.461611319561488,24.72903729071611,0
7,-9.55335165581894,21.45476035250064,24.712665906025034,0
8,-9.562776693988422,21.447786805439158,24.696341510522103,0
9,-9.572105344187484,21.440693127167954,24.680063268605334,0
10,-9.581337428812077,21.433481722068493,24.663830360872648,0
11,-9.590472772096614,21.426154950933324,24.64764198382295,0
12,-9.59951120011733,21.418715131771407,24.631497349562693,0
13,-9.608452540795582,21.41116454059849,24.61539568551787,0
14,-9.617296623901135,21.403505412212855,24.599336234151345,0
15,-9.626043281055392,21.39573994095664,24.58331825268537,0
16,-9.63469234573461,21.38787028146311,24.56734101282926,0
17,-9.643243653273064,21.379898549389992,24.551403800512063,0
18,-9.651697040866187,21.371826822139287,24.5355059156202,0
19,-9.660052347573663,21.363657139563674,24.519646671739917,0
20,-9.668309414322497,21.355391504659856,24.503825395904517,0
21,-9.676468083910038,21.347031884249024,24.48804142834624,0
22,-9.68452820100698,21.338580209644718,24.47229412225273,0
23,-9.692489612160314,21.33003837730829,24.456582843528007,0
24,-9.700352165796243,21.321408249492222,24.44090697055783,0
25,-9.708115712223082,21.312691654871497,24.425265893979397,0
26,-9.715780103634096,21.303890389163282,24.409659016455315,0
27,-9.723345194110323,21.2950062157351,24.394085752451712,0
28,-9.730810839623345,21.286040866201727,24.378545528020464,0
29,-9.73817689803803,21.27699604101103,24.363037780585415,0
30,-9.74544322911525,21.267873410018918,24.347561958732584,0
31,-9.752609694514526,21.258674613053632,24.33211752200419,0
32,-9.759676157796696,21.249401260469593,24.316703940696517,0
33,-9.76664248442648,21.24005493369094,24.301320695661488,0
34,-9.773508541775062,21.23063718574501,24.285967278111904,0
35,-9.780274199122609,21.221149541785913,24.270643189430274,0
36,-9.786939327660754,21.211593499608394,24.255347940981164,0
37,-9.79350380049506,21.201970530152163,24.240081053927018,0
38,-9.799967492647426,21.19228207799686,24.224842059047365,0
39,-9.806330281058472,21.18252956184786,24.209630496561367,0
40,-9.812592044589875,21.172714375013037,24.194445915953626,0
41,-9.818752664026688,21.16283788587069,24.17928787580321,0
42,-9.824812022079593,21.152901438328808,24.16415594361584,0
43,-9.83077000338715,21.14290635227578,24.149049695659137,0
44,-9.83662649451798,21.132853924022765,24.133968716800954,0
45,-9.842381383972938,21.12274542673784,24.11891260035064,0
46,-9.848034562187221,21.1125821108721,24.103880947903246,0
47,-9.853585921532467,21.10236520457785,24.08887336918662,0
48,-9.859035356318794,21.092095914119028,24.07388948191128,0
49,-9.864382762796819,21.081775424274017,24.058928911623095,0
50,-9.869628039159632,21.071404898730982,24.043991291558633,0
51,-9.874771085544733,21.060985480475864,24.02907626250322,0
52,-9.879811804035931,21.050518292173177,24.01418347265157,0
53,-9.884750098665211,21.040004436539732,23.99931257747101,0
54,-9.889585875414562,21.029444996711437,23.984463239567212,0
55,-9.894319042217766,21.018841036603263,23.969635128552394,0
56,-9.89894950896215,21.008193601262555,23.954827920915946,0
57,-9.903477187490303,20.99750371721576,23.940041299897445,0
58,-9.90790199160175,20.986772392808742,23.965424852112257,1
59,-9.9122238370546,20.97650091955832,23.990566670319208,1
60,-9.916442641567144,20.966680007912764,24.015470820331377,1
61,-9.920558324819428,20.95730054910929,24.04014129192444,1
62,-9.924570808454773,20.948353611693506,24.064582000293473,1
63,-9.928480016081275,20.939830438105723,24.0887967874818,1
64,-9.932285873273258,20.931722441332848,24.112789423782353,1
65,-9.935988307572684,20.924021201624587,24.13656360911211,1
66,-9.939587248490543,20.916718463272733,24.16012297436013,1
67,-9.943082627508186,20.90980613145231,24.18347108270969,1
68,-9.946474378078637,20.903276269123406,24.206611430934984,1
69,-9.949762435627854,20.897121093992517,24.229547450672936,1
70,-9.952946737555958,20.89133297553226,24.25228250967055,1
71,-9.956027223238433,20.88590443205834,24.27481991300831,1
72,-9.959003834027271,20.88082812786265,24.297162904300063,1
73,-9.961876513252093,20.87609687040147,24.31931466686982,1
74,-9.964645206221231,20.871703607537647,24.341278324905982,1
75,-9.967309860222759,20.867641424835774,24.363056944593367,1
76,-9.969870424525503,20.86390354290931,24.384653535223464,1
77,-9.972326850380014,20.86048331481867,24.40607105028338,1
78,-9.974679091019484,20.857374223519287,24.427312388523852,1
79,-9.976927101660639,20.8545698793587,24.448380395006716,1
80,-9.979070839504601,20.852064017621714,24.469277862132273,1
81,-9.981110263737687,20.84985049612273,24.490007530646896,1
82,-9.983045335532204,20.84792329284429,24.510572090631264,1
83,-9.98487601804717,20.846276503621024,24.530974182469635,1
84,-9.986602276429032,20.844904339868055,24.551216397800452,1
85,-9.988224077812319,20.843801126353057,24.571301280448715,1
86,-9.989741391320269,20.84296129901109,24.591231327340406,1
87,-9.991154188065419,20.842379402801427,24.61100898939936,1
88,-9.992462441150156,20.842050089605547,24.630636672426892,1
89,-9.993666125667229,20.841968116165482,24.650116737964517,1
90,-9.994765218700218,20.8421283420618,24.669451504140092,1
91,-9.995759699323976,20.842525727730404,24.688643246497694,1
92,-9.996649548605028,20.84315533251742,24.70769419881155,1
93,-9.997434749601922,20.844012312771476,24.72660655388432,1
94,-9.998115287365565,20.8450919199726,24.74538246433005,1
